0.000077 25.228500
0.000153 20.276000
0.000230 45.216500
0.000306 49.047400
0.000383 60.096000
0.000460 35.801600
0.000536 37.692300
0.000613 10.753500
0.000689 34.141400
0.000766 40.675200
0.000843 8.896830
0.000919 10.097700
0.000996 24.655200
0.001072 7.563450
0.001149 31.993400
0.003600 67.417800
0.003677 44.539800
0.003753 9.700840
0.003830 7.807580
0.003907 12.558500
0.003983 46.531400
0.004060 7.005970
0.013635 59.483000
0.015013 11.312900
0.015090 35.362300
0.015167 50.296300
0.015243 14.244900
0.015320 45.012100
0.015396 14.997900
0.015473 18.582400
0.021448 58.116000
0.021524 68.395800
0.021601 77.310100
0.021678 14.667800
0.021754 20.410200
0.021831 68.480000
0.021907 25.730300
0.021984 29.648300
0.022061 18.338000
0.022137 13.418000
0.022214 19.819300
0.022290 36.079100
0.022367 12.702400
0.022444 19.259700
0.022520 4.759280
0.022597 46.377900
0.022673 22.464800
0.022750 54.159400
0.022827 22.455700
0.022903 29.309300
0.022980 7.992920
0.023056 23.830300
0.023133 21.933000
0.023209 29.721100
0.023286 37.951300
0.023363 20.999000
0.023439 6.264470
0.024512 9.805800
0.024588 44.271300
0.024665 75.722300
0.024741 27.155500
0.024818 22.009800
0.024895 19.216100
0.024971 10.564500
0.025048 7.375610
0.025124 39.449600
0.025201 27.306000
0.025278 12.221500
0.025354 25.852800
0.025431 22.199300
0.025507 55.306700
0.025584 35.192400
0.025661 5.188270
0.025737 24.714200
0.025814 23.608600
0.025890 27.329200
0.025967 19.469100
0.026044 25.510300
0.026120 68.801000
0.026197 19.427800
0.026273 34.635800
0.026350 19.538700
0.026427 14.430600
0.026503 81.780000
0.026580 27.662200
0.026656 50.444600
0.026733 18.179500
0.028188 67.121200
0.028265 32.276500
0.028342 37.090700
0.028418 26.252300
0.028495 38.339700
0.028571 34.468200
0.028648 8.759390
0.028725 25.556500
0.028878 10.165600
0.041363 8.389800
0.041440 10.821000
0.041517 35.502700
0.041593 40.197900
0.041670 49.940400
0.041746 67.409500
0.041823 45.580500
0.041900 17.161300
0.041976 23.939900
0.042053 9.619470
0.042129 7.189120
0.042206 77.256600
0.042283 21.765300
0.042359 10.214200
0.042436 5.950340
0.042512 38.102400
0.042589 15.761300
0.042666 26.445900
0.042742 9.012330
0.042819 65.199100
0.042895 6.928950
0.042972 53.344800
0.043049 7.558530
0.043125 24.023200
0.043202 6.553530
0.043278 49.553600
0.043355 6.982990
0.043432 20.226400
0.043508 8.545460
0.043585 12.353800
0.043661 51.855100
0.043738 20.962000
0.043815 18.580300
0.043891 26.544000
0.043968 46.154900
0.044044 39.824700
0.044121 15.868700
0.044198 20.315400
0.044274 64.429000
0.044351 39.519300
0.044427 9.880300
0.044581 22.092100
0.044657 29.355500
0.055075 9.691900
0.055151 8.166790
0.055228 33.998000
0.055304 24.656200
0.055381 32.463700
0.055458 9.773000
0.055534 38.079200
0.055687 21.442000
0.055764 7.034720
0.055841 22.402300
0.055917 30.764800
0.055994 20.449800
0.056070 39.843700
0.056147 39.396900
0.056224 23.965700
0.056300 39.336200
0.056377 7.762000
0.056453 38.947800
0.056530 65.258800
0.056683 24.235300
0.056760 26.253400
0.056836 30.228100
0.056913 23.225500
0.056990 5.041420
0.057066 22.563200
0.057143 44.845100
0.057219 8.607860
0.057296 19.501000
0.057373 56.724400
0.057449 23.328700
0.057526 6.904460
0.057602 7.979240
0.057679 27.216400
0.057756 4.176310
0.057832 78.639300
0.057909 4.784700
0.057985 30.756200
0.058062 20.414300
0.058139 60.499200
0.058215 19.992100
0.058292 34.569300
0.058368 22.568000
0.058445 26.382400
0.058522 5.967160
0.058598 7.642040
0.058675 9.462370
0.058981 8.776500
0.059058 7.908520
0.059134 26.255400
0.059211 29.260300
0.059288 39.669900
0.059364 38.642800
0.059441 21.833900
0.059517 23.191300
0.059594 20.696300
0.059671 46.413500
0.059747 4.776200
0.059824 66.861400
0.059900 8.115990
0.059977 5.695520
0.060054 20.476800
0.060130 57.503600
0.060207 79.384100
0.060283 5.797060
0.060360 24.894300
0.060437 4.410010
0.060513 58.146700
0.060590 83.542000
0.060666 9.174950
0.060743 31.653100
0.060820 18.932500
0.060896 67.623000
0.060973 3.545990
0.061049 47.209100
0.061126 5.156480
0.061203 20.853000
0.061279 21.588700
0.061356 32.239900
0.061432 60.488900
0.061509 16.881500
0.061586 31.817200
0.061662 16.465300
0.061739 18.613000
0.061815 65.779000
0.061892 15.281200
0.061969 6.277470
0.062045 64.575500
0.062122 25.838100
0.065492 9.958660
0.065569 20.168900
0.065645 24.198800
0.065722 83.575600
0.065799 70.670300
0.065875 12.857100
0.065952 28.882500
0.066028 26.513100
0.066105 15.116000
0.066182 52.290300
0.066258 47.031600
0.066335 12.335000
0.066411 64.913100
0.066488 14.242900
0.066565 58.582900
0.066641 32.801100
0.066718 23.121900
0.066794 69.817800
0.066871 90.414500
0.066948 8.099050
0.067024 19.661800
0.067101 14.007600
0.067177 41.800100
0.067254 6.420820
0.067331 43.555400
0.067407 17.930000
0.067484 77.504500
0.067560 8.834720
0.067637 24.694700
0.067714 26.004000
0.067790 88.803000
0.067867 7.708970
0.068020 37.964900
0.068097 13.773500
0.068173 6.766670
