Energy(KeV) X(cm) Y(cm) Z(cm) px py pz
52.6182 -0.654795 1.04155 0.45362 -29.6192 40.8818 14.8344
76.2326 -0.269688 0.35313 0.550371 -42.9797 40.9066 47.8623
52.6746 0.166045 0.338554 0.552419 10.5472 23.9828 45.6967
46.5003 -0.034855 0.265031 0.562752 -23.7369 4.07653 39.7772
41.2254 0.204508 0.516929 0.52735 9.3492 22.0781 33.5363
47.1202 -0.610307 -0.133253 0.618727 -38.9294 -8.07713 25.2897
59.0514 -0.0748599 0.287838 0.559547 12.8007 27.0761 50.8929
66.7383 0.0867832 -0.27464 0.638598 -6.59923 -43.8997 49.8324
46.2649 0.257308 -0.0120018 0.601687 36.355 -20.1443 20.3214
38.905 -0.218307 -0.144595 0.620321 -7.15337 -24.3484 29.4888
51.743 -0.114546 0.145807 0.579508 -25.4148 -13.7224 42.9315
71.5809 0.0523132 0.693491 0.502536 -19.4198 59.2773 35.1126
73.4515 0.579389 -0.213009 0.629936 50.1353 -10.8713 52.5679
66.1048 -0.612422 -0.132367 0.618603 -45.32 -7.07262 47.6017
49.9493 0.238019 0.482237 0.532226 16.1662 39.1114 26.5308
66.1219 0.518616 0.0303014 0.595741 54.5905 -1.86453 37.2628
66.1877 0.442661 1.50946 0.387859 9.92304 64.613 10.3682
57.8385 -0.248973 -0.330562 0.646457 -18.0313 -29.3108 46.487
64.8639 0.204027 -0.191744 0.626948 6.25714 -14.1626 62.9889
53.0653 -0.147632 0.114187 0.583952 -25.6035 -6.19623 46.0651
52.7895 0.183788 -0.271992 0.638226 0.174891 -11.753 51.4642
65.7765 0.0482434 0.721725 0.498568 -2.77722 56.9053 32.8728
49.5291 -1.34973 0.0666408 0.590634 -45.4793 -8.37528 17.7378
56.8205 -0.230915 0.1595 0.577584 -39.6536 -1.01666 40.6832
67.5298 -0.853894 1.45117 0.396051 -31.6233 58.6712 10.8597
56.3059 -0.347572 -0.617945 0.686847 -33.2574 -40.0917 21.3764
66.045 -0.156885 1.47489 0.392718 -19.4903 61.8677 12.4278
38.0757 -0.108057 0.539688 0.524152 1.07821 24.6799 28.9741
53.4366 0.364173 1.23805 0.426003 24.5121 46.11 11.3355
49.5793 0.250402 0.418503 0.541183 41.6001 7.29369 25.9681
50.6043 0.405253 0.727946 0.497694 23.3288 39.4435 21.4657
51.7114 0.0186343 0.228005 0.567956 -10.9437 22.1199 45.4424
55.9357 -0.0449244 -0.00579902 0.600815 -12.8567 19.6091 50.7838
61.3835 -0.253396 0.185319 0.573955 -0.764047 33.5454 51.4009
69.383 -0.106274 0.281091 0.560495 6.34968 6.04177 68.8272
31.5787 -0.227071 0.487423 0.531497 -10.1407 15.5258 25.5603
55.9333 -0.276297 0.177947 0.574991 27.1292 3.13979 48.8127
49.4303 -0.607535 0.20312 0.571453 -31.3157 10.7272 36.7098
