1 0.001930 -0.1000 -0.2000
2 0.003287 -0.1000 -0.4000
3 0.005674 -0.1000 0.0000
4 0.008368 -0.1000 0.2000
5 0.011268 -0.1000 0.4000
6 0.014403 -0.1000 0.6000
7 0.017668 -0.1000 0.8000
8 0.020947 -0.1000 1.0000
9 0.024240 -0.1000 1.2000
10 0.027528 -0.1000 1.4000
11 0.030793 -0.1000 1.6000
12 0.033926 -0.1000 1.8000
13 0.036963 -0.1000 2.0000
14 0.039936 -0.1000 2.2000
15 0.042810 -0.1000 2.4000
16 0.045562 -0.1000 2.6000
17 0.048109 -0.1000 2.8000
18 0.050570 -0.1000 3.0000
19 0.052898 -0.1000 3.2000
20 0.055055 -0.1000 3.4000
21 0.057013 -0.3000 -0.2000
22 0.058369 -0.3000 -0.4000
23 0.060765 -0.3000 0.0000
24 0.063408 -0.3000 0.2000
25 0.066274 -0.3000 0.4000
26 0.069332 -0.3000 0.6000
27 0.072551 -0.3000 0.8000
28 0.075764 -0.3000 1.0000
29 0.079007 -0.3000 1.2000
30 0.082222 -0.3000 1.4000
31 0.085478 -0.3000 1.6000
32 0.088624 -0.3000 1.8000
33 0.091668 -0.3000 2.0000
34 0.094598 -0.3000 2.2000
35 0.097398 -0.3000 2.4000
36 0.100114 -0.3000 2.6000
37 0.102680 -0.3000 2.8000
38 0.105115 -0.3000 3.0000
39 0.107399 -0.3000 3.2000
40 0.109539 -0.3000 3.4000
41 0.111456 -0.5000 -0.2000
42 0.112760 -0.5000 -0.4000
43 0.115076 -0.5000 0.0000
44 0.117710 -0.5000 0.2000
45 0.120600 -0.5000 0.4000
46 0.123642 -0.5000 0.6000
47 0.126774 -0.5000 0.8000
48 0.129984 -0.5000 1.0000
49 0.133209 -0.5000 1.2000
50 0.136426 -0.5000 1.4000
51 0.139589 -0.5000 1.6000
52 0.142699 -0.5000 1.8000
53 0.145719 -0.5000 2.0000
54 0.148660 -0.5000 2.2000
55 0.151426 -0.5000 2.4000
56 0.154070 -0.5000 2.6000
57 0.156610 -0.5000 2.8000
58 0.159011 -0.5000 3.0000
59 0.161257 -0.5000 3.2000
60 0.163420 -0.5000 3.4000
61 0.165260 -0.7000 -0.2000
62 0.166568 -0.7000 -0.4000
63 0.168842 -0.7000 0.0000
64 0.171363 -0.7000 0.2000
65 0.174147 -0.7000 0.4000
66 0.177043 -0.7000 0.6000
67 0.180123 -0.7000 0.8000
68 0.183218 -0.7000 1.0000
69 0.186372 -0.7000 1.2000
70 0.189558 -0.7000 1.4000
71 0.192644 -0.7000 1.6000
72 0.195648 -0.7000 1.8000
73 0.198619 -0.7000 2.0000
74 0.201500 -0.7000 2.2000
75 0.204262 -0.7000 2.4000
76 0.206906 -0.7000 2.6000
77 0.209452 -0.7000 2.8000
78 0.211867 -0.7000 3.0000
79 0.214073 -0.7000 3.2000
80 0.216164 -0.7000 3.4000
81 0.217976 -0.9000 -0.2000
82 0.219242 -0.9000 -0.4000
83 0.221418 -0.9000 0.0000
84 0.223952 -0.9000 0.2000
85 0.226670 -0.9000 0.4000
86 0.229557 -0.9000 0.6000
87 0.232567 -0.9000 0.8000
88 0.235664 -0.9000 1.0000
89 0.238760 -0.9000 1.2000
90 0.241818 -0.9000 1.4000
91 0.244902 -0.9000 1.6000
92 0.247895 -0.9000 1.8000
93 0.250795 -0.9000 2.0000
94 0.253546 -0.9000 2.2000
95 0.256216 -0.9000 2.4000
96 0.258771 -0.9000 2.6000
97 0.261221 -0.9000 2.8000
98 0.263542 -0.9000 3.0000
99 0.265755 -0.9000 3.2000
100 0.267818 -0.9000 3.4000
101 0.269574 -1.1000 -0.2000
102 0.270791 -1.1000 -0.4000
103 0.272898 -1.1000 0.0000
104 0.275347 -1.1000 0.2000
105 0.277943 -1.1000 0.4000
106 0.280718 -1.1000 0.6000
107 0.283622 -1.1000 0.8000
108 0.286556 -1.1000 1.0000
109 0.289544 -1.1000 1.2000
110 0.292523 -1.1000 1.4000
111 0.295438 -1.1000 1.6000
112 0.298371 -1.1000 1.8000
113 0.301179 -1.1000 2.0000
114 0.303874 -1.1000 2.2000
115 0.306503 -1.1000 2.4000
116 0.308971 -1.1000 2.6000
117 0.311385 -1.1000 2.8000
118 0.313709 -1.1000 3.0000
119 0.315914 -1.1000 3.2000
120 0.317949 -1.1000 3.4000
121 0.319629 -1.3000 -0.2000
122 0.320789 -1.3000 -0.4000
123 0.322865 -1.3000 0.0000
124 0.325171 -1.3000 0.2000
125 0.327718 -1.3000 0.4000
126 0.330406 -1.3000 0.6000
